rule,failure_prob,obj_mean,obj_std,obj_95_I
edd,0.1,300.1112941176471,52.27024496390033,"(np.float64(269.4480294791714), np.float64(330.7745587561228))"
edd,0.2,351.1181568627451,66.18619299265849,"(np.float64(314.69897149938066), np.float64(387.5373422261095))"
edd,0.3,505.3747450980391,167.21589639295533,"(np.float64(415.6358408612579), np.float64(595.1136493348204))"
lpt,0.1,298.9769019607843,36.87471010217012,"(np.float64(277.3451113481553), np.float64(320.6086925734133))"
lpt,0.2,420.9573725490196,202.2093112421261,"(np.float64(309.690988196892), np.float64(532.2237569011472))"
lpt,0.3,536.7146666666666,140.88888020115354,"(np.float64(461.1045482441498), np.float64(612.3247850891835))"
spt,0.1,296.1815882352941,43.38305929916149,"(np.float64(270.7318083646315), np.float64(321.6313681059567))"
spt,0.2,298.18480392156863,36.07253785003773,"(np.float64(278.33576316116074), np.float64(318.0338446819765))"
spt,0.3,428.1703529411765,93.77244805749586,"(np.float64(377.8459704045729), np.float64(478.49473547778007))"
wspt,0.1,290.04786274509803,43.66150417446732,"(np.float64(264.43473891259583), np.float64(315.6609865776002))"
wspt,0.2,299.2327843137255,36.906058956032005,"(np.float64(278.9250956346067), np.float64(319.54047299284434))"
wspt,0.3,420.67974509803923,76.6135658956377,"(np.float64(379.5639325380283), np.float64(461.79555765805014))"
atcs,0.1,274.6497647058824,34.225791878239534,"(np.float64(254.5719075129678), np.float64(294.72762189879694))"
atcs,0.2,362.1233333333333,102.9507043183139,"(np.float64(305.4743463720575), np.float64(418.7723202946091))"
atcs,0.3,423.73964705882344,78.2453547835556,"(np.float64(381.7481106597142), np.float64(465.7311834579327))"
msf,0.1,286.836137254902,47.822312676402376,"(np.float64(258.78216065247364), np.float64(314.89011385733033))"
msf,0.2,296.804,74.19728067978946,"(np.float64(255.97668547483062), np.float64(337.63131452516933))"
msf,0.3,524.528,161.86580951064423,"(np.float64(437.6602996663568), np.float64(611.3957003336432))"
